Teks;label
"Mempermudah nasabah dalam bertransaksi dimanapun kita berada, yang penting ada signal 4G, transaksi apapun dengan mudah dapat dapat di akses..pokoknya saya kasi bintang 5, jedral di atas jendral...ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘;positif"
Buat yg bilang ni aplikasi suka error atau lemot .. coba deh pastiin hp kamu gak jadul versinya dan koneksi internet kamu bagus dan jangan pake wifi . Ni aplikasi ok kok sangat membantu.;positif
"Slamat siang team Bank Mandiri, App ini sangat membantu saya dan para nasabah Mandiri yg lain, bisakah semua program Mandiri Spt (DPM, Pinjaman dan deposit / program yg lainya) yg para nasabah ikuti, bisa kita kontrol lewat app ini?, Tks;positif"
"praktis dan mudah untuk transaksi. hanya saja saya sarankan untuk fisik kartu debet & kartu kredit terlalu tipis jadi gampang rusak/pecah.. tolong di tingkatkan lagi ketebalannya, minimal seperti bank tetangga...terimakasih;positif"
Teknologi canggih bagus keren aplikasi mandiri Online sangat membantu nasabah memudahkan transfer uang dan pembayaran multypayment... EXCELLENT from : suryana;positif
"Sangat kecewa.... Pengisian emoney via nfc mandiri online status terpotong, tapi di emonay tidak masuk. sy top up 100rb terpotong 2x. Tp yg masuk di emonay sy hanya 1x. Sangat kecewa, Sy harus telp CC untuk pengembalian uang sy. Mungkin kalau kejadiannya sampai 3x masih bisa di maklumi. Ini sy kejadiannya sudah 5x.... Kejadian yg ke5 terdebit 3x per 100rb, tp yg terisi emonay sy hanya 1x. Harus telp lg CC, via email tidak di respon. 5x kejadian yg sama. Kecewa & sangat KECEWA;negatif"
"tolong dong aplikasinya dipermudah untuk login, masak baru sekitar 2 hari gk login trus disuruh login ulang lagi, masukin nomor kartu lagi, kirim sms ke 3355 lagi, trus dibebankan biaya pulsa, dan sering error katanya perbaikan sistem mulu !!! beda jauh sama aplikasi BNI, gk login 3 bulan gk perlu login ulang !!!;negatif"
"Pas mau buka app ini hanya kecewa saja.hasilnya stag di 55% dan tidak bisa di buka. Masih bagus hasilnya yg di mandiri mobile sewaktu saya pakai BBQ10. tapi sayangnya di BBQ10 sudah tidak bisa di gunakan, karena di arahkan mendownload ke mandiri online. Dan apa hasilnya? Sangat mengecewakan. Transaksi jadi berantakan. Dan bisnis menjadi terganggu. Semoga kedepan lebih baik lagi dari saat ini. Dan komen2 tidak hanya di baca saja  tapi mohon di tindak lanjuti. Terima kasih"";negatif"
"Kecewa berat saya, transaksi perbankan saya terganggu karena dipaksa pindah ke mandiri online Saat saya kirim sms sampai 40 detik tidak ada respon dari apk lebih dari 40x, saya sudah clear cache, sudah call ke provider katanya kartu saya normal, internet saya stabil, no hp saya sudah terdaftar Dateng ke Cabang, cabang gak bisa Telpon ke call center , call center juga gak bisa Harus apa lagi nih hah ? Bisnis saya terganggu, dikit2 jadi harus ke ATM;negatif"
Sy sebelumnya sudah registrasi mandiri online ke bank. Kemudian sy ganti hp. Hp sy sudah di upgrade. Tp kok masih ga bisa download ya? Begitu jg dg linkaja. Apakah memang sedang bermasalah atau hanya bisa di download dg merk hp tertentu  aja;negatif
